"Word"|"synonyms"|"antonyms"|"related_to"|"origin"
"was turned off to"|"despise,regret,avoid,disapprove,resent,scorn,detest,shun,condemn,deplore,abhor,loathe,abominate,execrate,mind,disesteem,contemn,eschew,disfavor,look down on,disrelish,antipathize,be allergic to,be averse to,be turned off to,bear malice toward,grossed out on,have hard feelings,have no stomach for,have no taste for,lose interest in,make faces at,not appreciate,not care for,not endure,not feel like,not take kindly to,object to,shudder at"|"admire,cherish,adore,like,love,face,meet,approve,be happy"|"dislike,mislike"|""
"was turned on by"|"enjoy,crave,covet,like,fancy,aim,choose,pine,thirst,fall for,go for,wish for,aspire to,be smitten,be turned on by,cotton to,desiderate,die over,give eyeteeth for,hanker after,have eyes for,have the hots for,hunger for,lust after,make advances to,partial to,set heart on,spoil for,sweet on,take a liking to,take a shine to,take to,yearn for"|"dislike,hate,abjure,despise,answer,not want"|"desire"|""
"was turned on to"|"enjoy,taste,accept,see,have,sense,seem,suffer,appear,acknowledge,suggest,go through,notice,get,welcome,perceive,understand,know,receive,appreciate,endure,meet,exhibit,remark,resemble,savor,comprehend,note,observe,undergo,encounter,discern,be affected,be aware of,be excited,be impressed,be sensible of,be sensitive,be turned on to,get in touch,get vibes,have a hunch,have funny feeling,have vibes,take to heart"|"lack,need,refuse,reject,renounce,repudiate,disallow,ignore,disregard,surrender,misunderstand,disbelieve,want,neglect,overlook,yield,miss,turn away,misinterpret,be real"|"feel,prefer"|""
"was turned to"|"despise,regret,avoid,disapprove,resent,scorn,detest,shun,condemn,deplore,abhor,loathe,abominate,execrate,mind,disesteem,contemn,eschew,disfavor,look down on,disrelish,antipathize,be allergic to,be averse to,be turned off to,bear malice toward,grossed out on,have hard feelings,have no stomach for,have no taste for,lose interest in,make faces at,not appreciate,not care for,not endure,not feel like,not take kindly to,object to,shudder at"|"admire,cherish,adore,like,love,face,meet,approve,be happy"|"dislike,feel,prefer,mislike"|""
"was turned toward"|"confront,watch,meet,stare,glare,overlook,gaze,front,border,be turned toward,front onto"|"hide,retreat,run,withdraw,back"|"face"|""
"was unable decide"|"hesitate,pause,vacillate,tremble,shake,vary,waffle,sway,seesaw,teeter,falter,quiver,hedge,fluctuate,wobble,dither,oscillate,totter,trim,halt,deliberate,dilly-dally,flicker,undulate,palter,wave,stagger,reel,change,weave,blow hot and cold,hem and haw,yo-yo,be irresolute,be unable to decide,pussyfoot around,run hot and cold,whiffle"|"persist,remain,calm,continue,stay,steady"|"waver"|""
"was unable lay hands on"|"disorganize,disturb,confuse,unsettle,mislay,disorder,displace,remove,mix,muss,dishevel,miss,scatter,disarrange,be unable to lay hands on,forget whereabouts of,lose track of,misfile,place unwisely,place wrongly,put in wrong place"|"organize,compose,order,find"|"misplace"|""
"was unable remember"|"be unable to remember,draw a blank,fail to recall,fail to recollect"|""|"disremember"|""
"was unable to decide"|"hesitate,pause,vacillate,tremble,shake,vary,waffle,sway,seesaw,teeter,falter,quiver,hedge,fluctuate,wobble,dither,oscillate,totter,trim,halt,deliberate,dilly-dally,flicker,undulate,palter,wave,stagger,reel,change,weave,blow hot and cold,hem and haw,yo-yo,be irresolute,be unable to decide,pussyfoot around,run hot and cold,whiffle"|"persist,remain,calm,continue,stay,steady"|"waver"|""
"was unable to lay hands on"|"disorganize,disturb,confuse,unsettle,mislay,disorder,displace,remove,mix,muss,dishevel,miss,scatter,disarrange,be unable to lay hands on,forget whereabouts of,lose track of,misfile,place unwisely,place wrongly,put in wrong place"|"organize,compose,order,find"|"misplace"|""
"was unable to remember"|"be unable to remember,draw a blank,fail to recall,fail to recollect"|""|"disremember"|""
"was unbelievable"|"amaze,astonish,astound,awe,bedazzle,bewilder,bowl over,confound,dazzle,dumbfound,flabbergast,perplex,stagger,stun,stupefy,be unbelievable,blow one away,strike dumb,blow one's mind,knock one's socks off"|""|"boggle the mind"|""
"was uncertain"|"hesitate,distrust,suspect,impugn,vacillate,demur,challenge,mistrust,discredit,disbelieve,insinuate,waver,imagine,query,fear,dispute,fluctuate,scruple,surmise,shilly-shally,misdoubt,misgive,be apprehensive of,be curious,be dubious,be in a quandary,be puzzled,be uncertain,be undetermined,call in question,give no credence,harbor suspicion,have qualms,not buy,read differently,skepticize,smell a rat,take dim view of,wonder at"|"remain,rely,trust,stay,agree,go along,answer,believe,be certain,not question"|"doubt,misdoubt"|""
"was uncontrollable"|"blow up,rampage,roar,erupt,seethe,tear,chafe,fulminate,bristle,rant,fume,scold,splutter,surge,yell,steam,storm,rave,overflow,scream,fret,boil over,be beside oneself,be furious,be uncontrollable,blow a fuse,champ at bit,fly off the handle,foam at the mouth,go berserk,have a fit,have a tantrum,let off steam,look daggers,make a fuss over,rail at,rant and rave,snap at,throw a fit,work oneself into sweat,blow one's top"|"compliment,praise,be calm,flatter,be quiet,be happy"|"rage"|""
"was undecided"|"reel,flounder,hesitate,waver,wobble,totter,fluff,vacillate,halt,teeter,stammer,rock,quaver,lurch,scruple,break,fluctuate,stagger,shake,topple,tremble,roll,hem and haw,bobble,be undecided,drop the ball,speak haltingly,stub toe,trip up,whiffle"|"remain,stabilize,calm,persist,stay,steady,hold,continue,endure,maintain"|"falter,fluctuate,hinge"|""
"was under obligation"|"incur,lost,behind,ought to,be beholden,be bound,be contracted,be in arrears,be in debt,be indebted,be into one for,be obligated,be under obligation,feel bound,get on credit,have borrowed,in hock,on the tab,run up a bill"|"resolve,pay,settle"|"owe"|""
"was understanding"|"commiserate,comprehend,pity,comfort,love,compassionate,appreciate,condole,understand,ache,agree,identify with,relate to,be in accord,be in sympathy,be kind to,be there for,be understanding,bleed for,emphathize,feel heart go out to,go along with,grieve with,have compassion,offer consolation,pick up on,show kindliness,show mercy,show tenderness,side with,tune in,share another's sorrow"|"scorn,disapprove,disregard,ignore"|"sympathize"|""
"was undetermined"|"hesitate,distrust,suspect,impugn,vacillate,demur,challenge,mistrust,discredit,disbelieve,insinuate,waver,imagine,query,fear,dispute,fluctuate,scruple,surmise,shilly-shally,misdoubt,misgive,be apprehensive of,be curious,be dubious,be in a quandary,be puzzled,be uncertain,be undetermined,call in question,give no credence,harbor suspicion,have qualms,not buy,read differently,skepticize,smell a rat,take dim view of,wonder at"|"remain,rely,trust,stay,agree,go along,answer,believe,be certain,not question"|"doubt,misdoubt"|""
"was unfair"|"overrate,miscalculate,misconstrue,misunderstand,underestimate,err,prejudge,misconceive,suppose,underrate,presume,presuppose,stumble,misapprehend,mistake,misreckon,overestimate,dogmatize,bark up wrong tree,be misled,be overcritical,be partial,be unfair,be wrong,come to hasty conclusion,drop the ball,miscomprehend,misconjecture,misdeem,miss by a mile,misthink,put foot in"|"disbelieve,get,perceive,understand,comprehend,figure,judge well"|"misjudge"|""
"was unfaithful"|"abandon,mislead,forsake,deceive,seduce,jilt,cross,trick,finger,bluff,desert,knife,delude,blow the whistle,break faith,break with,double-cross,let down,sell out,stab in the back,take in,turn in,walk out on,be unfaithful,bite the hand that feeds you,break promise,break trust,commit treason,deliver up,go back on,inform against,inform on,play Judas,play false,sell down the river,turn informer,turn state's evidence"|"aid,assist,protect,hide,stay,help,be faithful,be loyal,defend,support,be quiet,keep secret"|"betray,go back,stab in the back,two-time,go back"|""
"was unison"|"unify,reconcile,cooperate,integrate,adjust,coordinate,accord,compose,correlate,carol,relate,attune,proportion,unite,synthesize,set,combine,adapt,suit,sing,cohere,orchestrate,blend,agree,tune,arrange,symphonize,be in unison,be of one mind,chime with,fit in with,reconciliate"|"refuse,disarrange,disperse,scatter,disconnect,conceal,disorder,dispute,disorganize,oppose,disagree,differ,divide,separate,disturb,clash,fight"|"harmonize"|""
"was unlike"|"contradict,vary,diverge,mismatch,depart,separate,disagree,hang,bracket,oppose,differentiate,distinguish,weigh,balance,deviate,conflict,collate,stand out,be a foil to,be contrary to,be dissimilar,be diverse,be unlike,be variable,hold a candle to,match up,set in opposition,set off,stack up against"|"harmonize,aid,coincide,concur,agree,stay,join,help,accord,conform,be alike,be equal,be similar"|"contrast,differ,vary"|""
"was unoccupied"|"laze,loll,trifle,lie,stall,slack,relax,goldbrick,dillydally,loiter,drift,evade,lounge,idle,malinger,bum,shirk,dally,dream,saunter,stroll,vegetate,fool around,kill time,let down,waste time,fritter away,piddle,be inactive,be indolent,be slothful,be unoccupied,bum around,hang out,knock around,lounge around,not lift a finger,pass time,sit around,slow down,stand around,take it easy,twiddle thumbs,while away hours"|"hurry,achieve,energize,labor,rush,face,meet,do,run,work hard"|"loaf,laze"|""
"was unsteady"|"vacillate,wobble,lurch,seesaw,waver,teeter,fluctuate,toss,flicker,vary,pitch,ripple,pivot,whirl,wag,dangle,undulate,stagger,vibrate,waggle,sway,roll,totter,swivel,waltz,rock,wave,wiggle,reel,palpitate,waddle,switch,swing,thrash,teeter-totter,librate,fishtail,be unsteady,pendulate"|"remain,stabilize,stay,steady,be still"|"oscillate,wobble"|""
"was unsuitable"|"distress,injure,bother,upset,hurt,nauseate,sicken,trouble,discomfort,be distasteful,be disturbing,be sickening,be unsuitable,go against the grain,make ill"|"assist,calm,soothe,aid,heal,mend,coincide,harmonize,acquiesce,concur,consent,help,cure,please,agree,accept"|"disagree"|""
"was untruthful"|"mislead,promote,misrepresent,deceive,pervert,frame,bull,invent,dupe,beguile,fake,prevaricate,concoct,equivocate,snow,fib,fudge,falsify,victimize,palter,plant,misstate,phony,distort,dissemble,delude,misinform,exaggerate,fabricate,malign,forswear,perjure,dissimulate,con,make believe,put on,string along,soft-soap,misspeak,overdraw,misguide,BS,be untruthful,bear false witness,break promise,go back on,misinstruct,put up a front"|"destroy,straighten,tell truth,stand,be honest,be upright"|"lie"|""
"was unwilling"|"ponder,pause,balk,waffle,waver,falter,stumble,dither,defer,swerve,pussyfoot,seesaw,debate,dillydally,alternate,delay,flounder,doubt,fumble,shrink,hover,stop,hang,tergiversate,hedge,dally,fluctuate,scruple,oscillate,vacillate,linger,shift,stammer,straddle,demur,stutter,weigh,balance,equivocate,blow hot and cold,hang back,hem and haw,hold back,be irresolute,be reluctant,be unwilling,hold off,pull back,shy away,sit on fence,think about,think twice"|"persist,expedite,hasten,hurry,remain,go ahead,persevere,resolve,continue,advance,agree,go along,rush,do well,face,meet,go,stay,attack,carry on"|"hesitate,scruple"|""
"was up"|"come clean,be above-board,be frank,be on the up and up,be open,be straight,be straightforward,be up-front,come to terms,keep nothing back,talk straight,tell the truth"|"rough up,construct,deceive,jag,build,lie,turn,point away"|"level"|""
"was up about"|"rouse,awaken,exert,move,waken,budge,wake,awake,hasten,bestir,be up and about,get a move on,get moving,look alive,make an effort,mill about,shake a leg"|"deaden,calm,laze,wait,go to sleep,leave alone,discourage,rest"|"stir"|""
"was up and about"|"rouse,awaken,exert,move,waken,budge,wake,awake,hasten,bestir,be up and about,get a move on,get moving,look alive,make an effort,mill about,shake a leg"|"deaden,calm,laze,wait,go to sleep,leave alone,discourage,rest"|"stir"|""
"was up and up"|"come clean,be above-board,be frank,be on the up and up,be open,be straight,be straightforward,be up-front,come to terms,keep nothing back,talk straight,tell the truth"|"rough up,construct,deceive,jag,build,lie,turn,point away"|"level"|""
"was up clouds"|"visualize,daydream,conceive,invent,crave,fantasize,think,picture,long,concoct,sublimate,formulate,hunger,devise,sigh,create,hatch,fancy,hanker,lust,hallucinate,thirst,imagine,pine,idealize,brainstorm,envisage,cook up,make up,stargaze,be delirious,be moonstruck,be up in clouds,build castles in air,have a flash,have a nightmare,have a notion,have a vision,search for pot of gold,think up"|"despise,dislike,hate"|"dream"|""
"was up ears in"|"proliferate,flourish,thrive,teem,crowd,swell,flow,swarm,infest,overflow,be alive with,be all over the place,be knee deep in,be no end to,be plentiful,be thick with,crawl with,have a full plate,be up to one's ears in"|"languish,retreat,lack,need,decline,fail,deficient,short,want"|"abound"|""
"was up front"|"come clean,be above-board,be frank,be on the up and up,be open,be straight,be straightforward,be up-front,come to terms,keep nothing back,talk straight,tell the truth"|"rough up,construct,deceive,jag,build,lie,turn,point away"|"level"|""
"was up in clouds"|"visualize,daydream,conceive,invent,crave,fantasize,think,picture,long,concoct,sublimate,formulate,hunger,devise,sigh,create,hatch,fancy,hanker,lust,hallucinate,thirst,imagine,pine,idealize,brainstorm,envisage,cook up,make up,stargaze,be delirious,be moonstruck,be up in clouds,build castles in air,have a flash,have a nightmare,have a notion,have a vision,search for pot of gold,think up"|"despise,dislike,hate"|"dream"|""
"was up one ears in"|"proliferate,flourish,thrive,teem,crowd,swell,flow,swarm,infest,overflow,be alive with,be all over the place,be knee deep in,be no end to,be plentiful,be thick with,crawl with,have a full plate,be up to one's ears in"|"languish,retreat,lack,need,decline,fail,deficient,short,want"|"abound"|""
"was up one's ears in"|"proliferate,flourish,thrive,teem,crowd,swell,flow,swarm,infest,overflow,be alive with,be all over the place,be knee deep in,be no end to,be plentiful,be thick with,crawl with,have a full plate,be up to one's ears in"|"languish,retreat,lack,need,decline,fail,deficient,short,want"|"abound"|""
"was up ones ears in"|"proliferate,flourish,thrive,teem,crowd,swell,flow,swarm,infest,overflow,be alive with,be all over the place,be knee deep in,be no end to,be plentiful,be thick with,crawl with,have a full plate,be up to one's ears in"|"languish,retreat,lack,need,decline,fail,deficient,short,want"|"abound"|""
"was up to"|"commit,manage,may,make out,take care of,be capable of,be equal to,be up to,can do,could,cut the mustard,have it made,make it,make the grade,be within one's area,be within one's control,lie in one's power"|"hire,employ,cannot"|"can,fall to,have"|""
"was up to ears in"|"proliferate,flourish,thrive,teem,crowd,swell,flow,swarm,infest,overflow,be alive with,be all over the place,be knee deep in,be no end to,be plentiful,be thick with,crawl with,have a full plate,be up to one's ears in"|"languish,retreat,lack,need,decline,fail,deficient,short,want"|"abound"|""
"was up to one ears in"|"proliferate,flourish,thrive,teem,crowd,swell,flow,swarm,infest,overflow,be alive with,be all over the place,be knee deep in,be no end to,be plentiful,be thick with,crawl with,have a full plate,be up to one's ears in"|"languish,retreat,lack,need,decline,fail,deficient,short,want"|"abound"|""
"was up to one's ears in"|"proliferate,flourish,thrive,teem,crowd,swell,flow,swarm,infest,overflow,be alive with,be all over the place,be knee deep in,be no end to,be plentiful,be thick with,crawl with,have a full plate,be up to one's ears in"|"languish,retreat,lack,need,decline,fail,deficient,short,want"|"abound"|""
"was up to ones ears in"|"proliferate,flourish,thrive,teem,crowd,swell,flow,swarm,infest,overflow,be alive with,be all over the place,be knee deep in,be no end to,be plentiful,be thick with,crawl with,have a full plate,be up to one's ears in"|"languish,retreat,lack,need,decline,fail,deficient,short,want"|"abound"|""
"was up up"|"come clean,be above-board,be frank,be on the up and up,be open,be straight,be straightforward,be up-front,come to terms,keep nothing back,talk straight,tell the truth"|"rough up,construct,deceive,jag,build,lie,turn,point away"|"level"|""
"was up-front"|"come clean,be above-board,be frank,be on the up and up,be open,be straight,be straightforward,be up-front,come to terms,keep nothing back,talk straight,tell the truth"|"rough up,construct,deceive,jag,build,lie,turn,point away"|"level"|""
"was upfront"|"come clean,be above-board,be frank,be on the up and up,be open,be straight,be straightforward,be up-front,come to terms,keep nothing back,talk straight,tell the truth"|"rough up,construct,deceive,jag,build,lie,turn,point away"|"level"|""
"was upheld"|"reside,lie,hang,stay,count,rely,bottom,predicate,turn,base,found,establish,ground,be based,be contingent,be dependent,be founded,be seated on,be supported,be upheld"|"destroy,activate,carry out,energize,walk,do,move,stand,be active"|"rest"|""
"was uptight"|"rage,stir,burn,warm,seethe,stew,ferment,churn,bubble,fume,parboil,effervesce,sparkle,cook,fizz,smart,fret,fricassee,be agitated,be angry,be tense,be uptight"|"soothe,be happy,cool,freeze"|"simmer"|""
"was use"|"satisfy,answer,serve,avail,suffice,suit,pass muster,be adequate,be enough,be good enough for,be of use,be useful,give satisfaction"|"dissatisfy,destroy,put off,defer,fail,idle,lose,miss,neglect,pass,undo"|"do,help,serve,serve"|""
"was useful"|"satisfy,answer,serve,avail,suffice,suit,pass muster,be adequate,be enough,be good enough for,be of use,be useful,give satisfaction"|"dissatisfy,destroy,put off,defer,fail,idle,lose,miss,neglect,pass,undo"|"do,serve"|""
"was usual"|"prove,beat,win,reign,succeed,overcome,triumph,abound,preponderate,obtain,command,gain,master,carry,conquer,domineer,overrule,best,predominate,make out,take off,be common,be current,be prevalent,be usual,be victorious,be widespread,come out on top,exist generally,get there,go great guns,go places,hit pay dirt,luck out,make it,move out"|"surrender,forfeit,lose,fail,follow,give up,yield"|"prevail"|""
"was vain"|"decline,fall,founder,flounder,flop,blunder,fold,abort,fizzle,slip,miscarry,miss,backslide,deteriorate,go down,break down,back wrong horse,be defeated,be demoted,be found lacking,be in vain,be ruined,come to naught,come to nothing,fall flat,fall short,fall through,go astray,go down swinging,go downhill,go up in smoke,go wrong,hit bottom,hit the skids,lose control,lose out,lose status,meet with disaster,miss the boat,play into,run aground,turn out badly"|"ascend,accomplish,achieve,gain,merit,obtain,prosper,capture,complete,procure,rise,go up,succeed,do well,correct,build,develop,earn,reach,win,deliver,finish"|"fail,grandstand,miscarry"|""
"was valid"|"remain,operate,last,stay,persevere,resist,exist,wear,persist,apply,be in effect,be in force,be the case,be valid,have bearing,hold good,hold true,remain true,stand up,stay staunch"|"release,disbelieve,forsake,cease,desert,go,leave,give up,quit,stop,drop,let go,abandon,halt,cancel"|"hold,stand"|""
"was value"|"count,signify,involve,imply,affect,mean,weigh,express,value,import,carry weight,be important,be of value,be substantive,cut ice,have influence,make a difference,mean something"|"exclude"|"matter"|""
"was valued at"|"require,yield,bring in,take,nick,rap,set back,sell for,come to,amount to be asked,be demanded,be given,be marked at,be needed,be paid,be priced at,be received,be valued at,be worth,mount up,move back,sell at,to the tune of"|"disallow,refuse,reject,lose"|"cost"|""
"was variable"|"contradict,vary,diverge,mismatch,depart,separate,disagree,hang,bracket,oppose,differentiate,distinguish,weigh,balance,deviate,conflict,collate,stand out,be a foil to,be contrary to,be dissimilar,be diverse,be unlike,be variable,hold a candle to,match up,set in opposition,set off,stack up against"|"harmonize,aid,coincide,concur,agree,stay,join,help,accord,conform,be alike,be equal,be similar"|"contrast"|""
"was verifiable"|"agree,correspond,jibe,be verifiable,measure up"|""|"check out"|""
"was versed"|"notice,recognize,appreciate,perceive,experience,see,have,learn,realize,ken,discriminate,prize,apprehend,fathom,comprehend,grasp,differentiate,distinguish,undergo,discern,apperceive,cognize,be acquainted,be cognizant,be conversant in,be informed,be learned,be master of,be read,be schooled,be versed,feel certain,get the idea,have down pat,have information,have knowledge of,keep up on,on top of"|"ignore,misunderstand,mix up,miss,neglect,overlook,confuse,misinterpret,forget,not get,be ignorant"|"know"|""
"was vertical"|"locate,set,rise,erect,settle,place,rank,put,position,mount,cock,dispose,poise,be erect,be on feet,be vertical,jump up"|"disorder,refuse,reject,veto,lose,depart,leave,move,displace,remove,fall,drop,lay,lie,sit"|"stand"|""
"was very picture of"|"parallel,feature,simulate,mirror,relate,approximate,echo,favor,duplicate,double,follow,coincide,match,take after,appear like,be similar to,be the very picture of,bear resemblance to,bring to mind,come close to,come near,correspond to,have earmarks of,have signs of,pass for,remind one of,seem like,smack of,sound like"|"contradict,contrast,deviate,differ,disagree"|"resemble"|""
"was vested"|"locate,lie,squat,populate,consist,nest,occupy,settle,endure,lodge,dwell,inhabit,perch,crash,people,park,dig,abide,stay,remain,continue,inhere,bide,sojourn,tenant,roost,be intrinsic to,be vested,rest with,take up residence,hang one's hat"|"straighten,depart,leave,move,go,stop"|"reside"|""
"was vexed"|"dislike,grudge,begrudge,be in a huff,be insulted,be offended by,be put off by,be rubbed wrong way,be vexed,bear a grudge,feel bitter,feel sore,frown at,get nose out of joint,harbor a grudge,have hard feelings,object to,take amiss,take as an insult,take exception,take offense,take umbrage"|"be happy,like,love"|"resent"|""
"was victim"|"nibble,risk,volunteer,be victim,get hooked"|"be careful"|"bite"|""
"was victorious"|"overtake,overwhelm,top,triumph,outrun,whip,overcome,transcend,exceed,subdue,excel,better,outshine,conquer,outstrip,outdo,best,vanquish,outplay,outrival,be victorious,shoot ahead of"|"surrender,aid,assist,guard,protect,cede,relinquish,retreat,fall behind,lose,fail,give up,help,be inferior"|"beat,carry,come through,overcome,prevail,upset"|""
"was vigilant"|"keep,attend,wait,patrol,oversee,mind,tend,superintend,police,look out,take care of,be on alert,be on the lookout,be vigilant,be wary,be watchful,care for,keep eyes open,keep eyes peeled,keep watch over,look after,pick up on,ride shotgun for,take heed"|"ignore,pass by,harm,neglect,overlook,hurt"|"watch"|""
"was violent"|"fester,ripen,simmer,froth,effervesce,seethe,provoke,churn,concoct,incite,sparkle,moil,bubble,boil,fizz,rise,foam,excite,evaporate,inflame,heat,overflow,rouse,foment,work,sour,leaven,brew,dissolve,acidify,be violent,stir up"|"calm,pacify,tranquilize,be happy,stop,discourage,dull,freeze,dampen,cool"|"ferment"|""
"was visible"|"disclose,reveal,register,appear,prove,establish,explain,get,reach,show up,project,indicate,note,determine,demonstrate,teach,mark,come,display,present,illustrate,materialize,emerge,loom,evidence,point,divulge,proclaim,discover,manifest,assert,clarify,evince,arrive,elucidate,instruct,unveil,get in,lay out,make out,turn up,be visible,blow in,make known,make the scene,ostend,put in appearance,testify to,show one's face"|"conceal,hide,withhold,disprove,obscure,disappear,deny,refuse,veto,secrete,cover,confuse,fail,lose,miss,depart,leave,go,abandon,leave alone"|"show,show up"|""
"was want"|"desire,require,lack,call for,demand,claim,miss,hunger,wish,covet,necessitate,thirst,hanker,lust,crave,long,pine,exact,yearn,do without,be deficient,be deprived,be down and out,be hard up,be in need of,be in want,be inadequate,be needy,be poor,be short,be without,die for,drive for,feel a dearth of,feel the necessity for,feel the pinch,go hungry,have occasion for,have occasion to,have use for,hurt for,suffer privation,yen for"|"dislike,hate,abjure,despise,have,give,not want,do not want"|"need"|""
"was warpath"|"fume,smolder,simmer,bristle,flare,boil,foam,froth,rage,burn,flip,stew,storm,ferment,spark,blow up,hit the ceiling,be furious,be incensed,be livid,be mad,be on the warpath,breathe fire,foam at mouth,see red,blow one's stack"|"be happy,freeze"|"seethe"|""
"was wary"|"heed,shun,avoid,mind,notice,attend,look out,take care,be cautious,be wary,guard against,keep eyes open,refrain from,steer clear of,take heed,walk on eggs,watch out,keep on one's toes,keep one's distance,mind p's and q's,watch one's step"|"disregard,ignore,court,invite,risk,face,meet,neglect,take on"|"beware,mind,mistrust,watch"|""
"was wary of"|"discredit,mistrust,disbelieve,question,doubt,suspect,misbelieve,be wary of,smell a rat,wonder about"|"believe,trust,credit,be confident"|"distrust,misdoubt"|""
"was wasteful"|"expend,squander,heap,fritter,deluge,give,pour,spend,dissipate,waste,scatter,go through,run through,be generous,be wasteful,spend money like water,thrust upon"|"hoard,economize,limit,hold,save,collect,gather,starve"|"lavish,squander,throw away"|""
"was wasteful with"|"deplete,blow,consume,dump,lavish,misspend,misuse,waste,squander,run through,throw away,fritter away,use up,be wasteful with,burn up,indulge oneself,kiss goodbye,trifle away"|"hoard,accumulate,save,starve,build,collect,gather,appear"|"dissipate,fritter"|""
"was watchful"|"keep,attend,wait,patrol,oversee,mind,tend,superintend,police,look out,take care of,be on alert,be on the lookout,be vigilant,be wary,be watchful,care for,keep eyes open,keep eyes peeled,keep watch over,look after,pick up on,ride shotgun for,take heed"|"ignore,pass by,harm,neglect,overlook,hurt"|"watch"|""
"was welcome"|"earn,deserve,prosper,succeed,triumph,merit,be accepted,be favorite,be welcome,be worthy"|"disqualify,fail,lose"|"rate"|""
"was well taken"|"involve,regard,answer to,bear on,deal with,belong to,appertain to,apply to,be about,be applicable to,be connected with,be dependent upon,be interdependent with,be pertinent to,be well taken,bear upon,depend upon,have a bearing on,have connections with,have implications for,have relation to,have significance for,have to do with,pertain to,refer to"|"unconcern"|"concern"|""
"was wet"|"secrete,drip,pour,swelter,exude,lather,glow,be damp,be wet,break a sweat,get in a lather"|"dry"|"perspire"|""
"was whipping boy"|"come to grips with,be a target,be a whipping boy,court disaster,face criticism,go through fire and water,meet head-on,take potshots,take the bull by the horns,face one's punishment,go in harm's way,march up to the cannon's mouth,take one's life in one's hands"|""|"run the gauntlet"|""
"was widespread"|"prove,beat,win,reign,succeed,overcome,triumph,abound,preponderate,obtain,command,gain,master,carry,conquer,domineer,overrule,best,predominate,make out,take off,be common,be current,be prevalent,be usual,be victorious,be widespread,come out on top,exist generally,get there,go great guns,go places,hit pay dirt,luck out,make it,move out"|"surrender,forfeit,lose,fail,follow,give up,yield"|"prevail"|""
"was wild about"|"extol,prize,applaud,treasure,appreciate,laud,honor,commend,credit,adore,hail,praise,cherish,respect,worship,revere,idolize,glorify,eulogize,value,venerate,esteem,approve,delight in,fall for,go for,marvel at,be crazy about,be crazy for,be crazy over,be mad about,be nuts about,be stuck on,be sweet on,be wild about,get high on,groove on,hold in respect,look up to,moon over,pay homage to,rate highly,take pleasure in,think highly of,wonder at"|"blame,despise,dislike,hate,disparage,denounce,dishonor,reproach,censure,condemn,abhor,detest,execrate,scorn,criticize,disrespect,mock,not care"|"admire,adore,rave"|""
"was willing"|"prompt,impel,persuade,predispose,bend,sway,look,favor,prefer,move,influence,drive,induce,turn,bias,prejudice,verge,govern,affect,be disposed,be partial,be predisposed,be willing,gravitate toward,lean to,make willing,not mind"|"prevent,dissuade,repress,suppress,hinder,dislike,stop,discourage,halt,be fair,be just"|"incline,lean"|""
"was wind"|"prefigure,predict,portend,imply,foretell,augur,presage,omen,hint,suggest,signal,betoken,adumbrate,forebode,promise,shadow,bode,prophesy,telegraph,be in the wind"|"leave,fall,decline,abandon,descend,drop,neglect"|"foreshadow,loom"|""
"was wired"|"fret,squirm,twiddle,jiggle,twitch,chafe,trifle,play,fuss,toss,hitch,jump,wiggle,fiddle,bustle,stir,worry,jitter,joggle,be antsy,be hyper,be nervous,be on pins and needles,be spooked,be wired"|"relax,rest,be still"|"fidget"|""
"was wise someone"|"be onto someone,be wise to someone,have someone pegged,have someone sized up,know what makes someone tick,read someone"|""|"have someone's number"|""
"was wise to someone"|"be onto someone,be wise to someone,have someone pegged,have someone sized up,know what makes someone tick,read someone"|""|"have someone's number"|""
"was with"|"attend,court,date,escort,be with,go out with,go steady with,keep company with"|"disagree,mismatch,go solo"|"go together"|""
"was with it"|"notice,feel,anticipate,appreciate,perceive,think,understand,grasp,believe,realize,discern,catch,divine,consider,credit,read,dig,apprehend,observe,suspect,know,savvy,hold,deem,pick up,take in,apperceive,be with it,catch on,catch the drift,feel in bones,feel in gut,get the drift,get the idea,get the impression,get the picture,get vibes,have a feeling,have a hunch"|"ignore,disbelieve,disregard,misunderstand,release,miss,neglect,overlook,misinterpret,let go,lose,forget,abandon,be numb,be unaware"|"sense,understand"|""
"was with you"|"scoot,scram,beat it,begone,bug off,get out,out of the way,git,shoo,away with you,be off,be off with you,get going,get out from under my feet,get out of my sight,get out of my way,off with you,out with you"|""|"scat"|""
"was within area"|"commit,manage,may,make out,take care of,be capable of,be equal to,be up to,can do,could,cut the mustard,have it made,make it,make the grade,be within one's area,be within one's control,lie in one's power"|"hire,employ,cannot"|"can"|""
"was within control"|"commit,manage,may,make out,take care of,be capable of,be equal to,be up to,can do,could,cut the mustard,have it made,make it,make the grade,be within one's area,be within one's control,lie in one's power"|"hire,employ,cannot"|"can"|""
"was within one area"|"commit,manage,may,make out,take care of,be capable of,be equal to,be up to,can do,could,cut the mustard,have it made,make it,make the grade,be within one's area,be within one's control,lie in one's power"|"hire,employ,cannot"|"can"|""
"was within one control"|"commit,manage,may,make out,take care of,be capable of,be equal to,be up to,can do,could,cut the mustard,have it made,make it,make the grade,be within one's area,be within one's control,lie in one's power"|"hire,employ,cannot"|"can"|""
"was within one's area"|"commit,manage,may,make out,take care of,be capable of,be equal to,be up to,can do,could,cut the mustard,have it made,make it,make the grade,be within one's area,be within one's control,lie in one's power"|"hire,employ,cannot"|"can"|""
